Date (month/day/year)	Time (UTC)	Latitude (degrees)	Longitude (degrees)
10/26/2009	12:32:44 AM	47.66217	-122.34560
10/26/2009	12:32:49 AM	47.66218	-122.34560
10/26/2009	12:32:54 AM	47.66217	-122.34557
10/26/2009	12:32:59 AM	47.66217	-122.34552
10/26/2009	12:33:04 AM	47.66217	-122.34552
10/26/2009	12:33:09 AM	47.66215	-122.34555
10/26/2009	12:33:14 AM	47.66215	-122.34553
10/26/2009	12:33:19 AM	47.66215	-122.34558
10/26/2009	12:33:24 AM	47.66215	-122.34560
10/26/2009	12:33:29 AM	47.66215	-122.34565
10/26/2009	12:33:34 AM	47.66217	-122.34597
10/26/2009	12:33:39 AM	47.66215	-122.34650
10/26/2009	12:33:44 AM	47.66210	-122.34707
10/26/2009	12:33:49 AM	47.66203	-122.34762
10/26/2009	12:33:55 AM	47.66203	-122.34768
10/26/2009	12:34:00 AM	47.66203	-122.34810
10/26/2009	12:34:05 AM	47.66207	-122.34855
10/26/2009	12:34:10 AM	47.66213	-122.34908
10/26/2009	12:34:15 AM	47.66217	-122.34953
10/26/2009	12:34:20 AM	47.66218	-122.34972
10/26/2009	12:34:25 AM	47.66222	-122.34982
10/26/2009	12:34:30 AM	47.66220	-122.34982
10/26/2009	12:34:35 AM	47.66222	-122.34982
10/26/2009	12:34:40 AM	47.66223	-122.34982
10/26/2009	12:34:45 AM	47.66228	-122.34983
10/26/2009	12:34:50 AM	47.66225	-122.34983
10/26/2009	12:34:55 AM	47.66222	-122.34983
10/26/2009	12:35:00 AM	47.66218	-122.35012
10/26/2009	12:35:05 AM	47.66220	-122.35045
10/26/2009	12:35:10 AM	47.66218	-122.35043
10/26/2009	12:35:15 AM	47.66218	-122.35055
10/26/2009	12:35:20 AM	47.66215	-122.35100
10/26/2009	12:35:25 AM	47.66215	-122.35165
10/26/2009	12:35:30 AM	47.66213	-122.35245
10/26/2009	12:35:35 AM	47.66213	-122.35328
10/26/2009	12:35:40 AM	47.66212	-122.35395
10/26/2009	12:35:45 AM	47.66212	-122.35427
10/26/2009	12:35:50 AM	47.66215	-122.35437
10/26/2009	12:35:55 AM	47.66215	-122.35435
10/26/2009	12:36:00 AM	47.66215	-122.35437
10/26/2009	12:36:05 AM	47.66215	-122.35462
10/26/2009	12:36:10 AM	47.66213	-122.35523
10/26/2009	12:36:15 AM	47.66225	-122.35593
10/26/2009	12:36:20 AM	47.66257	-122.35658
10/26/2009	12:36:25 AM	47.66293	-122.35722
10/26/2009	12:36:30 AM	47.66338	-122.35780
10/26/2009	12:36:35 AM	47.66387	-122.35832
10/26/2009	12:36:40 AM	47.66433	-122.35887
10/26/2009	12:36:45 AM	47.66483	-122.35942
10/26/2009	12:36:50 AM	47.66535	-122.35983
10/26/2009	12:36:55 AM	47.66583	-122.36013
10/26/2009	12:37:00 AM	47.66620	-122.36033
10/26/2009	12:37:05 AM	47.66647	-122.36048
10/26/2009	12:37:10 AM	47.66655	-122.36052
10/26/2009	12:37:15 AM	47.66657	-122.36053
10/26/2009	12:37:20 AM	47.66680	-122.36067
10/26/2009	12:37:25 AM	47.66720	-122.36093
10/26/2009	12:37:30 AM	47.66755	-122.36120
10/26/2009	12:37:35 AM	47.66778	-122.36138
10/26/2009	12:37:40 AM	47.66782	-122.36140
10/26/2009	12:37:45 AM	47.66795	-122.36153
10/26/2009	12:37:50 AM	47.66828	-122.36182
10/26/2009	12:37:55 AM	47.66860	-122.36213
10/26/2009	12:38:00 AM	47.66872	-122.36275
